web-scraper-order,web-scraper-start-url,rooms_area_price_raw,address_raw,price_raw,description_raw,text_raw
"1727116419-1","https://www.immoscout24.ch/de/wohnung/mieten/ort-winterthur?pn=8","3.5 Zimmer, 85m², CHF 2’250.–","","","","3.5 Zimmer, 85m², CHF 2’250.– Wülflingerstrasse 250, 8408 Winterthur3.5 Zimmer Wohnung im Dorfkern von Wülflingen BeschreibungPer 1. Oktober 2024 oder nach Vereinbarung vermieten wir am Lindenplatz in Winterthur-Wülflingen diese schöne 3.5-Zimmer-Wohnung im 2.OG &amp; 3.OG an bester Lage an der Wülflingerstrasse 250 direkt am Lindenplatz. Die Wohnung könnte teilmöbliert vermietet werden.Sei es zum Einkaufen, der Gang zu Restaurants und Bars, zum gemütlichen Flanieren an der Töss oder im Wald - alles, was das Herz begehrt in unmittelbarer Nähe. Folgende Vorzüge erwarten Sie: -	inkl. Internet und WiFi-	Küche, Geschirrspüler, grosser Kühlschrank-	Grosse helle Zimmer-	Pflegeleichter Boden (Laminat, Keramikplatten)-	Waschmaschine &amp; Trockner in Waschküche (Total 3 Parteien)-	Anbindung an die Autobahn 2 Minuten mit dem Auto-	Einkaufsmöglichkeiten: Migros 50m, Coop 190m Fussweg-	Zentral: Post 140m, Apotheke 60m, Beck 100m-	Vielseitige Sportaktivitäten rund um das Quartier-	In 5 Minuten mit dem Fahrrad an der TössÖV-Anbindungen (Bus Nr. 2 &amp; 674 vor dem Haus) -	10 Minuten bis zum Bhf Winterthur-	15 Minuten bis zur ZHAWZusätzlich Möglichkeit eine Garagenbox (Einzelbox) zu mieten-	147 CHF -	120m entfernt"
"1727116419-2","https://www.immoscout24.ch/de/wohnung/mieten/ort-winterthur?pn=8","","Wülflingerstrasse 250, 8408 Winterthur","","","3.5 Zimmer, 85m², CHF 2’250.– Wülflingerstrasse 250, 8408 Winterthur3.5 Zimmer Wohnung im Dorfkern von Wülflingen BeschreibungPer 1. Oktober 2024 oder nach Vereinbarung vermieten wir am Lindenplatz in Winterthur-Wülflingen diese schöne 3.5-Zimmer-Wohnung im 2.OG &amp; 3.OG an bester Lage an der Wülflingerstrasse 250 direkt am Lindenplatz. Die Wohnung könnte teilmöbliert vermietet werden.Sei es zum Einkaufen, der Gang zu Restaurants und Bars, zum gemütlichen Flanieren an der Töss oder im Wald - alles, was das Herz begehrt in unmittelbarer Nähe. Folgende Vorzüge erwarten Sie: -	inkl. Internet und WiFi-	Küche, Geschirrspüler, grosser Kühlschrank-	Grosse helle Zimmer-	Pflegeleichter Boden (Laminat, Keramikplatten)-	Waschmaschine &amp; Trockner in Waschküche (Total 3 Parteien)-	Anbindung an die Autobahn 2 Minuten mit dem Auto-	Einkaufsmöglichkeiten: Migros 50m, Coop 190m Fussweg-	Zentral: Post 140m, Apotheke 60m, Beck 100m-	Vielseitige Sportaktivitäten rund um das Quartier-	In 5 Minuten mit dem Fahrrad an der TössÖV-Anbindungen (Bus Nr. 2 &amp; 674 vor dem Haus) -	10 Minuten bis zum Bhf Winterthur-	15 Minuten bis zur ZHAWZusätzlich Möglichkeit eine Garagenbox (Einzelbox) zu mieten-	147 CHF -	120m entfernt"
"1727116419-3","https://www.immoscout24.ch/de/wohnung/mieten/ort-winterthur?pn=8","","","CHF 2’250.–","","3.5 Zimmer, 85m², CHF 2’250.– Wülflingerstrasse 250, 8408 Winterthur3.5 Zimmer Wohnung im Dorfkern von Wülflingen BeschreibungPer 1. Oktober 2024 oder nach Vereinbarung vermieten wir am Lindenplatz in Winterthur-Wülflingen diese schöne 3.5-Zimmer-Wohnung im 2.OG &amp; 3.OG an bester Lage an der Wülflingerstrasse 250 direkt am Lindenplatz. Die Wohnung könnte teilmöbliert vermietet werden.Sei es zum Einkaufen, der Gang zu Restaurants und Bars, zum gemütlichen Flanieren an der Töss oder im Wald - alles, was das Herz begehrt in unmittelbarer Nähe. Folgende Vorzüge erwarten Sie: -	inkl. Internet und WiFi-	Küche, Geschirrspüler, grosser Kühlschrank-	Grosse helle Zimmer-	Pflegeleichter Boden (Laminat, Keramikplatten)-	Waschmaschine &amp; Trockner in Waschküche (Total 3 Parteien)-	Anbindung an die Autobahn 2 Minuten mit dem Auto-	Einkaufsmöglichkeiten: Migros 50m, Coop 190m Fussweg-	Zentral: Post 140m, Apotheke 60m, Beck 100m-	Vielseitige Sportaktivitäten rund um das Quartier-	In 5 Minuten mit dem Fahrrad an der TössÖV-Anbindungen (Bus Nr. 2 &amp; 674 vor dem Haus) -	10 Minuten bis zum Bhf Winterthur-	15 Minuten bis zur ZHAWZusätzlich Möglichkeit eine Garagenbox (Einzelbox) zu mieten-	147 CHF -	120m entfernt"
"1727116419-4","https://www.immoscout24.ch/de/wohnung/mieten/ort-winterthur?pn=8","","","","3.5 Zimmer Wohnung im Dorfkern von Wülflingen","3.5 Zimmer, 85m², CHF 2’250.– Wülflingerstrasse 250, 8408 Winterthur3.5 Zimmer Wohnung im Dorfkern von Wülflingen BeschreibungPer 1. Oktober 2024 oder nach Vereinbarung vermieten wir am Lindenplatz in Winterthur-Wülflingen diese schöne 3.5-Zimmer-Wohnung im 2.OG &amp; 3.OG an bester Lage an der Wülflingerstrasse 250 direkt am Lindenplatz. Die Wohnung könnte teilmöbliert vermietet werden.Sei es zum Einkaufen, der Gang zu Restaurants und Bars, zum gemütlichen Flanieren an der Töss oder im Wald - alles, was das Herz begehrt in unmittelbarer Nähe. Folgende Vorzüge erwarten Sie: -	inkl. Internet und WiFi-	Küche, Geschirrspüler, grosser Kühlschrank-	Grosse helle Zimmer-	Pflegeleichter Boden (Laminat, Keramikplatten)-	Waschmaschine &amp; Trockner in Waschküche (Total 3 Parteien)-	Anbindung an die Autobahn 2 Minuten mit dem Auto-	Einkaufsmöglichkeiten: Migros 50m, Coop 190m Fussweg-	Zentral: Post 140m, Apotheke 60m, Beck 100m-	Vielseitige Sportaktivitäten rund um das Quartier-	In 5 Minuten mit dem Fahrrad an der TössÖV-Anbindungen (Bus Nr. 2 &amp; 674 vor dem Haus) -	10 Minuten bis zum Bhf Winterthur-	15 Minuten bis zur ZHAWZusätzlich Möglichkeit eine Garagenbox (Einzelbox) zu mieten-	147 CHF -	120m entfernt"
"1727116419-5","https://www.immoscout24.ch/de/wohnung/mieten/ort-winterthur?pn=8","3.5 Zimmer, 96m², CHF 3’350.–","","","","3.5 Zimmer, 96m², CHF 3’350.– Ernst-Jung-Gasse 18, 8400 WinterthurModerne lichtdurchflutete Wohnung zur Zwischenmiete 2 Monate Lichtdurchflutete, moderne Wohnung mit Panoramafenstern und gemeinschaftlicher Dachterrasse zur Zwischenmiete. Neubau im Minergie-Standard, hohe Decken, modernste Küchengeräte, Wohnküche, Waschmaschine und Trockner in der Wohnung, 2 Badezimmer mit Tageslicht (eins mit Badewanne), Dachterrasse, Velokeller, Barrierefrei. Hervorragende Lage/Viertel (Zentrumsnah) mit öffentlicher Verkehrsanbindung direkt vor der Türe, Einkaufsmöglichkeiten, Restaurants und Bars.Bushaltestelle: 50mSupermarkt: 50mBahnhof Winterthur: 1000m (3 min Bus/ 4 min Velo)Zürich Stadelhofen / Zürich HB (ca. 25-30 min mit den öffentlichen Verkehrsmitteln)Möblierte Zwischenmiete mit Allem, was man braucht. Volle Ausstattungen von der modernen Küche, zum professionellen Homeoffice Arbeitsplatz übers Wohnzimmer (inkl. Heimkinoanlage), bis zum Schlafzimmer (Bett und Stauraum). Arbeitszimmer könnte bei Bedarf als zweites Schlafzimmer/Gästezimmer genutzt werden (Luftbett vorhanden).Die Wohnung eignet sich perfekt für ein Paar/Einzelperson.Bei Bedarf kann ein Parkplatz in der Tiefgarage im Haus dazugemietet werden.Besichtigung oder Videocall nach Absprache ____Light-flooded, modern flat with panoramic windows and communal roof terrace for interim rent. New build to Minergie standard, high ceilings, state-of-the-art kitchen appliances, eat-in kitchen, washing machine and tumble dryer in the flat, 2 bathrooms with natural light (one with bathtub), roof terrace, bicycle cellar, barrier-free. Excellent location/neighborhood (close to the centre) with public transport connections right outside the door, shopping facilities, restaurants and bars.Bus stop: 50mSupermarket: 50mWinterthur railway station: 1000m (3 min bus/ 4 min bike)Zurich Stadelhofen / Zurich main station (approx. 25-30 min by public transport)Furnished intermediate rent with everything you need. Fully equipped with a modern kitchen, professional home office, living room (incl. home cinema system), bedroom (bed and storage space). The office could be used as a second bedroom/guest room if required (air bed available).The flat is perfect for a couple/single person.If required, a parking space can be rented in the underground car park in the building.Viewing or video call by arrangement"
"1727116419-6","https://www.immoscout24.ch/de/wohnung/mieten/ort-winterthur?pn=8","","Ernst-Jung-Gasse 18, 8400 Winterthur","","","3.5 Zimmer, 96m², CHF 3’350.– Ernst-Jung-Gasse 18, 8400 WinterthurModerne lichtdurchflutete Wohnung zur Zwischenmiete 2 Monate Lichtdurchflutete, moderne Wohnung mit Panoramafenstern und gemeinschaftlicher Dachterrasse zur Zwischenmiete. Neubau im Minergie-Standard, hohe Decken, modernste Küchengeräte, Wohnküche, Waschmaschine und Trockner in der Wohnung, 2 Badezimmer mit Tageslicht (eins mit Badewanne), Dachterrasse, Velokeller, Barrierefrei. Hervorragende Lage/Viertel (Zentrumsnah) mit öffentlicher Verkehrsanbindung direkt vor der Türe, Einkaufsmöglichkeiten, Restaurants und Bars.Bushaltestelle: 50mSupermarkt: 50mBahnhof Winterthur: 1000m (3 min Bus/ 4 min Velo)Zürich Stadelhofen / Zürich HB (ca. 25-30 min mit den öffentlichen Verkehrsmitteln)Möblierte Zwischenmiete mit Allem, was man braucht. Volle Ausstattungen von der modernen Küche, zum professionellen Homeoffice Arbeitsplatz übers Wohnzimmer (inkl. Heimkinoanlage), bis zum Schlafzimmer (Bett und Stauraum). Arbeitszimmer könnte bei Bedarf als zweites Schlafzimmer/Gästezimmer genutzt werden (Luftbett vorhanden).Die Wohnung eignet sich perfekt für ein Paar/Einzelperson.Bei Bedarf kann ein Parkplatz in der Tiefgarage im Haus dazugemietet werden.Besichtigung oder Videocall nach Absprache ____Light-flooded, modern flat with panoramic windows and communal roof terrace for interim rent. New build to Minergie standard, high ceilings, state-of-the-art kitchen appliances, eat-in kitchen, washing machine and tumble dryer in the flat, 2 bathrooms with natural light (one with bathtub), roof terrace, bicycle cellar, barrier-free. Excellent location/neighborhood (close to the centre) with public transport connections right outside the door, shopping facilities, restaurants and bars.Bus stop: 50mSupermarket: 50mWinterthur railway station: 1000m (3 min bus/ 4 min bike)Zurich Stadelhofen / Zurich main station (approx. 25-30 min by public transport)Furnished intermediate rent with everything you need. Fully equipped with a modern kitchen, professional home office, living room (incl. home cinema system), bedroom (bed and storage space). The office could be used as a second bedroom/guest room if required (air bed available).The flat is perfect for a couple/single person.If required, a parking space can be rented in the underground car park in the building.Viewing or video call by arrangement"
"1727116419-7","https://www.immoscout24.ch/de/wohnung/mieten/ort-winterthur?pn=8","","","CHF 3’350.–","","3.5 Zimmer, 96m², CHF 3’350.– Ernst-Jung-Gasse 18, 8400 WinterthurModerne lichtdurchflutete Wohnung zur Zwischenmiete 2 Monate Lichtdurchflutete, moderne Wohnung mit Panoramafenstern und gemeinschaftlicher Dachterrasse zur Zwischenmiete. Neubau im Minergie-Standard, hohe Decken, modernste Küchengeräte, Wohnküche, Waschmaschine und Trockner in der Wohnung, 2 Badezimmer mit Tageslicht (eins mit Badewanne), Dachterrasse, Velokeller, Barrierefrei. Hervorragende Lage/Viertel (Zentrumsnah) mit öffentlicher Verkehrsanbindung direkt vor der Türe, Einkaufsmöglichkeiten, Restaurants und Bars.Bushaltestelle: 50mSupermarkt: 50mBahnhof Winterthur: 1000m (3 min Bus/ 4 min Velo)Zürich Stadelhofen / Zürich HB (ca. 25-30 min mit den öffentlichen Verkehrsmitteln)Möblierte Zwischenmiete mit Allem, was man braucht. Volle Ausstattungen von der modernen Küche, zum professionellen Homeoffice Arbeitsplatz übers Wohnzimmer (inkl. Heimkinoanlage), bis zum Schlafzimmer (Bett und Stauraum). Arbeitszimmer könnte bei Bedarf als zweites Schlafzimmer/Gästezimmer genutzt werden (Luftbett vorhanden).Die Wohnung eignet sich perfekt für ein Paar/Einzelperson.Bei Bedarf kann ein Parkplatz in der Tiefgarage im Haus dazugemietet werden.Besichtigung oder Videocall nach Absprache ____Light-flooded, modern flat with panoramic windows and communal roof terrace for interim rent. New build to Minergie standard, high ceilings, state-of-the-art kitchen appliances, eat-in kitchen, washing machine and tumble dryer in the flat, 2 bathrooms with natural light (one with bathtub), roof terrace, bicycle cellar, barrier-free. Excellent location/neighborhood (close to the centre) with public transport connections right outside the door, shopping facilities, restaurants and bars.Bus stop: 50mSupermarket: 50mWinterthur railway station: 1000m (3 min bus/ 4 min bike)Zurich Stadelhofen / Zurich main station (approx. 25-30 min by public transport)Furnished intermediate rent with everything you need. Fully equipped with a modern kitchen, professional home office, living room (incl. home cinema system), bedroom (bed and storage space). The office could be used as a second bedroom/guest room if required (air bed available).The flat is perfect for a couple/single person.If required, a parking space can be rented in the underground car park in the building.Viewing or video call by arrangement"
"1727116419-8","https://www.immoscout24.ch/de/wohnung/mieten/ort-winterthur?pn=8","","","","Moderne lichtdurchflutete Wohnung zur Zwischenmiete 2 Monate","3.5 Zimmer, 96m², CHF 3’350.– Ernst-Jung-Gasse 18, 8400 WinterthurModerne lichtdurchflutete Wohnung zur Zwischenmiete 2 Monate Lichtdurchflutete, moderne Wohnung mit Panoramafenstern und gemeinschaftlicher Dachterrasse zur Zwischenmiete. Neubau im Minergie-Standard, hohe Decken, modernste Küchengeräte, Wohnküche, Waschmaschine und Trockner in der Wohnung, 2 Badezimmer mit Tageslicht (eins mit Badewanne), Dachterrasse, Velokeller, Barrierefrei. Hervorragende Lage/Viertel (Zentrumsnah) mit öffentlicher Verkehrsanbindung direkt vor der Türe, Einkaufsmöglichkeiten, Restaurants und Bars.Bushaltestelle: 50mSupermarkt: 50mBahnhof Winterthur: 1000m (3 min Bus/ 4 min Velo)Zürich Stadelhofen / Zürich HB (ca. 25-30 min mit den öffentlichen Verkehrsmitteln)Möblierte Zwischenmiete mit Allem, was man braucht. Volle Ausstattungen von der modernen Küche, zum professionellen Homeoffice Arbeitsplatz übers Wohnzimmer (inkl. Heimkinoanlage), bis zum Schlafzimmer (Bett und Stauraum). Arbeitszimmer könnte bei Bedarf als zweites Schlafzimmer/Gästezimmer genutzt werden (Luftbett vorhanden).Die Wohnung eignet sich perfekt für ein Paar/Einzelperson.Bei Bedarf kann ein Parkplatz in der Tiefgarage im Haus dazugemietet werden.Besichtigung oder Videocall nach Absprache ____Light-flooded, modern flat with panoramic windows and communal roof terrace for interim rent. New build to Minergie standard, high ceilings, state-of-the-art kitchen appliances, eat-in kitchen, washing machine and tumble dryer in the flat, 2 bathrooms with natural light (one with bathtub), roof terrace, bicycle cellar, barrier-free. Excellent location/neighborhood (close to the centre) with public transport connections right outside the door, shopping facilities, restaurants and bars.Bus stop: 50mSupermarket: 50mWinterthur railway station: 1000m (3 min bus/ 4 min bike)Zurich Stadelhofen / Zurich main station (approx. 25-30 min by public transport)Furnished intermediate rent with everything you need. Fully equipped with a modern kitchen, professional home office, living room (incl. home cinema system), bedroom (bed and storage space). The office could be used as a second bedroom/guest room if required (air bed available).The flat is perfect for a couple/single person.If required, a parking space can be rented in the underground car park in the building.Viewing or video call by arrangement"
"1727116419-9","https://www.immoscout24.ch/de/wohnung/mieten/ort-winterthur?pn=8","2.5 Zimmer, 55m², CHF 1’411.–","","","","2.5 Zimmer, 55m², CHF 1’411.– J.C.Heerstrasse 67, 8406 Winterthur2.5-Zimmerwohnung an zentraler Lage Wir vermieten per sofort oder nach Vereinbarung diese tolle 2.5-Zimmerwohnung ganz in der Nähe diverser Einkaufsmöglichkeiten in Winterthur-Töss.Die Wohnung verfügt über:• grosszügige Räumlichkeiten• geräumiger Einbauschrank im Wohnzimmer• grosszügiger Balkon• Bad mit BadewanneDie Bilder können vom tatsächlichen Mietobjekt abweichen.Valentin Stettler, freut sich auf Ihre Kontaktaufnahme via Kontaktformular."
"1727116419-10","https://www.immoscout24.ch/de/wohnung/mieten/ort-winterthur?pn=8","","J.C.Heerstrasse 67, 8406 Winterthur","","","2.5 Zimmer, 55m², CHF 1’411.– J.C.Heerstrasse 67, 8406 Winterthur2.5-Zimmerwohnung an zentraler Lage Wir vermieten per sofort oder nach Vereinbarung diese tolle 2.5-Zimmerwohnung ganz in der Nähe diverser Einkaufsmöglichkeiten in Winterthur-Töss.Die Wohnung verfügt über:• grosszügige Räumlichkeiten• geräumiger Einbauschrank im Wohnzimmer• grosszügiger Balkon• Bad mit BadewanneDie Bilder können vom tatsächlichen Mietobjekt abweichen.Valentin Stettler, freut sich auf Ihre Kontaktaufnahme via Kontaktformular."
